,layer,wordID,meaningID,target,baseS,SignS,error,meanError,standardError,Model,diff_base_emb,diff_base_human
2136,4,36,1,pastor,-0.0315624475479126,-0.0292694121599197,0.0022930353879928,0.0046862737731413,0.0012720443580039,GPT-2,0.002293035387992897,0.194078947368421
2137,5,36,1,pastor,-0.042953610420227,-0.0377701520919799,0.005183458328247,0.0040495258339859,0.0012810705161409,GPT-2,0.005183458328247105,0.194078947368421
2138,6,36,1,pastor,-0.0350693427026271,-0.0481188893318176,-0.0130495466291904,0.0022099248054338,0.0013141334037509,GPT-2,-0.0130495466291905,0.194078947368421
2139,7,36,1,pastor,-0.0428541973233222,-0.0538527369499206,-0.0109985396265983,0.007077143220429,0.0017524338287417,GPT-2,-0.0109985396265984,0.194078947368421
2140,8,36,1,pastor,-0.0386955998837947,-0.0502021238207817,-0.0115065239369869,0.0133599026247541,0.0021261208536261,GPT-2,-0.011506523936987,0.194078947368421
2141,9,36,1,pastor,-0.0337054133415222,-0.0479663275182247,-0.0142609141767025,0.020010190956453,0.0026230844050259,GPT-2,-0.0142609141767025,0.194078947368421
2142,10,36,1,pastor,-0.0359721072018146,-0.057679034769535,-0.0217069275677204,0.0254147091157179,0.0033019749057338,GPT-2,-0.0217069275677204,0.194078947368421
2143,11,36,1,pastor,0.0079936077818274,-0.0414903126657009,-0.0494839204475283,0.0258183518939829,0.0033397806915065,GPT-2,-0.0494839204475283,0.194078947368421
2144,12,36,1,pastor,-0.0096908751875162,-0.0388439297676086,-0.0291530545800924,0.0313646246362081,0.0035394602982381,GPT-2,-0.029153054580092402,0.194078947368421
2145,0,36,2,pastor,0.4452722072601318,0.4452722072601318,0.0,0.0,0.0,GPT-2,0.0,0.235338345864662
2146,1,36,2,pastor,-0.011337112635374,0.0153138395398855,0.0266509521752595,0.008103385602342,0.0017484787756044,GPT-2,0.0266509521752595,0.235338345864662
2147,2,36,2,pastor,-0.0526320226490497,-0.0372637547552585,0.0153682678937911,0.0127489008405741,0.0015859422778035,GPT-2,0.015368267893791206,0.235338345864662
2148,3,36,2,pastor,-0.0766728222370147,-0.0726366341114044,0.0040361881256103,0.0102653523332419,0.0013534774855699,GPT-2,0.004036188125610296,0.235338345864662
2149,4,36,2,pastor,-0.0927348434925079,-0.0982199013233184,-0.0054850578308105,0.0046862737731413,0.0012720443580039,GPT-2,-0.005485057830810491,0.235338345864662
2150,5,36,2,pastor,-0.1043441444635391,-0.112230435013771,-0.0078862905502319,0.0040495258339859,0.0012810705161409,GPT-2,-0.007886290550231906,0.235338345864662
2151,6,36,2,pastor,-0.0956549569964408,-0.1245457828044891,-0.0288908258080482,0.0022099248054338,0.0013141334037509,GPT-2,-0.02889082580804829,0.235338345864662
2152,7,36,2,pastor,-0.102048359811306,-0.1266752928495407,-0.0246269330382347,0.007077143220429,0.0017524338287417,GPT-2,-0.02462693303823471,0.235338345864662
2153,8,36,2,pastor,-0.1044542342424392,-0.1329151093959808,-0.0284608751535415,0.0133599026247541,0.0021261208536261,GPT-2,-0.028460875153541607,0.235338345864662
2154,9,36,2,pastor,-0.0935925170779228,-0.1324000656604766,-0.0388075485825538,0.020010190956453,0.0026230844050259,GPT-2,-0.03880754858255381,0.235338345864662
2155,10,36,2,pastor,-0.0848544239997863,-0.1242589950561523,-0.0394045710563659,0.0254147091157179,0.0033019749057338,GPT-2,-0.03940457105636601,0.235338345864662
2156,11,36,2,pastor,-0.037631556391716,-0.0802993550896644,-0.0426677986979484,0.0258183518939829,0.0033397806915065,GPT-2,-0.0426677986979484,0.235338345864662
2157,12,36,2,pastor,-0.0402388982474803,-0.0686701238155365,-0.0284312255680561,0.0313646246362081,0.0035394602982381,GPT-2,-0.028431225568056197,0.235338345864662
2158,0,37,1,oración,0.6099631786346436,0.6099631786346436,0.0,0.0,0.0,GPT-2,0.0,0.0778529980657641
2159,1,37,1,oración,0.0178796164691448,0.0252363309264183,0.0073567144572734,0.008103385602342,0.0017484787756044,GPT-2,0.007356714457273501,0.0778529980657641
