,layer,wordID,meaningID,target,baseS,SignS,error,meanError,standardError,Model,diff_base_emb,diff_base_human
2035,7,32,1,izquierda,-0.0846821963787078,-0.035629753023386,0.0490524433553218,0.0058697552539091,0.0016660939255716,GPT2,0.5792533195047759,0.217194570135747
2036,8,32,1,izquierda,-0.1140379607677459,-0.0415159426629543,0.0725220181047916,0.0124115632311936,0.0020811193334741,GPT2,0.6359462903102304,0.217194570135747
2037,9,32,1,izquierda,-0.1304631680250167,-0.0432990342378616,0.0871641337871551,0.019153790508813,0.0025637835686533,GPT2,0.6681129632728305,0.217194570135747
2038,10,32,1,izquierda,-0.141755998134613,-0.0249980147927999,0.116757983341813,0.0245484481714269,0.0032758754261026,GPT2,0.8236546239894448,0.217194570135747
2039,11,32,1,izquierda,-0.1432693600654602,-0.0117269642651081,0.1315423958003521,0.0249562705272531,0.0033842132704647,GPT2,0.9181474373882174,0.217194570135747
2040,12,32,1,izquierda,-0.1375493705272674,0.014072673395276,0.1516220439225435,0.0303520350122546,0.0035309770269601,GPT2,1.1023099803461935,0.217194570135747
2041,0,32,2,izquierda,0.5237099528312683,0.5237099528312683,0.0,0.0,0.0,GPT2,0.0,-0.0444711538461539
2042,1,32,2,izquierda,-0.0334778949618339,-0.0108578875660896,0.0226200073957443,0.0072556414364024,0.0018334550467256,GPT2,0.675669943451701,-0.0444711538461539
2043,2,32,2,izquierda,-0.0465688221156597,-0.0273972749710083,0.0191715471446514,0.0117586309813517,0.0015758407862501,GPT2,0.41168202831148226,-0.0444711538461539
2044,3,32,2,izquierda,-0.0434138774871826,-0.0250368043780326,0.0183770731091499,0.0093377059315668,0.001337954014567,GPT2,0.423299510958808,-0.0444711538461539
2045,4,32,2,izquierda,-0.0372097641229629,-0.0330895856022834,0.0041201785206794,0.0036490652313891,0.0012809097812257,GPT2,0.1107284235144306,-0.0444711538461539
2046,5,32,2,izquierda,-0.0119951553642749,-0.0053168172016739,0.0066783381626009,0.0027583396121701,0.0013073444123684,GPT2,0.5567529523203222,-0.0444711538461539
2047,6,32,2,izquierda,-0.0121318250894546,-0.0167922973632812,-0.0046604722738265,0.0009515941777127,0.0012896677425232,GPT2,-0.38415261013593444,-0.0444711538461539
2048,7,32,2,izquierda,-0.0016739442944526,-0.0125669045373797,-0.010892960242927,0.0058697552539091,0.0016660939255716,GPT2,-6.507361253911517,-0.0444711538461539
2049,8,32,2,izquierda,-0.0235887337476015,-0.0357632227241992,-0.0121744889765977,0.0124115632311936,0.0020811193334741,GPT2,-0.5161145615896233,-0.0444711538461539
2050,9,32,2,izquierda,-0.0461494401097297,-0.0611784122884273,-0.0150289721786975,0.019153790508813,0.0025637835686533,GPT2,-0.32565881932615337,-0.0444711538461539
2051,10,32,2,izquierda,-0.061230294406414,-0.0635615810751915,-0.0023312866687774,0.0245484481714269,0.0032758754261026,GPT2,-0.03807407250573817,-0.0444711538461539
2052,11,32,2,izquierda,-0.070726178586483,-0.0600438676774501,0.0106823109090328,0.0249562705272531,0.0033842132704647,GPT2,0.1510375807448825,-0.0444711538461539
2053,12,32,2,izquierda,-0.0800451338291168,-0.0580208525061607,0.022024281322956,0.0303520350122546,0.0035309770269601,GPT2,0.27514828534079677,-0.0444711538461539
2054,0,33,1,partido,0.2925508618354797,0.2925508618354797,0.0,0.0,0.0,GPT2,0.0,0.314340588988476
