"indTarget","oracion","Sign1","Sign2","otro_sum_1","otro_sum_2","baseS1","baseS2","diff","umbral","diff_base1","diff_base2"
29,"Iván los miró antes de dar la nota que estaban esperando.",0.440677966101695,0.76,0.101694915254237,0.1,0.148148148148148,0.703703703703704,0.319322033898305,TRUE,0.292529817953547,0.0562962962962963
30,"Por temor a perderlo%2C Víctor cuidaba su órgano con mucho esfuerzo.",0.826923076923077,0.392857142857143,0,0.0357142857142857,0.6875,0.25,0.434065934065934,FALSE,0.139423076923077,0.142857142857143
31,"Todo andaba muy bien gracias a la batería nueva que habían comprado.",0.322033898305085,0.964285714285714,0.0169491525423729,0.0357142857142857,0.06,0.88,0.64225181598063,TRUE,0.262033898305085,0.0842857142857143
32,"Luis estaba más a la izquierda de lo que quería.",0.294117647058824,0.859375,0,0,0.0769230769230769,0.903846153846154,0.565257352941176,TRUE,0.217194570135747,-0.0444711538461539
33,"Recordó el histórico partido del que le hablaba su abuelo.",0.450704225352113,0.830508474576271,0.0140845070422535,0.0508474576271186,0.136363636363636,0.863636363636364,0.379804249224159,TRUE,0.314340588988476,-0.0331278890600925
34,"Desde antes de empezarla%2C esa campaña ya era un fracaso.",0.977272727272727,0.137254901960784,0.0227272727272727,0.156862745098039,0.823529411764706,0.0588235294117647,0.840017825311943,TRUE,0.153743315508021,0.0784313725490196
35,"Para Elsa%2C el estado era desastroso.",0.396551724137931,0.596153846153846,0.344827586206897,0.346153846153846,0.204545454545455,0.409090909090909,0.199602122015915,FALSE,0.192006269592476,0.187062937062937
36,"El pastor caminaba mientras cantaba alegremente.",0.5625,0.814285714285714,0.0208333333333333,0.0285714285714286,0.368421052631579,0.578947368421053,0.251785714285714,FALSE,0.194078947368421,0.235338345864662
37,"Pronunció a viva voz la oración del día.",0.886363636363636,0.36,0,0.06,0.808510638297872,0.148936170212766,0.526363636363636,TRUE,0.0778529980657641,0.211063829787234
38,"Ya había visto esa función en algún otro lado.",0.681818181818182,0.697674418604651,0.0681818181818182,0.0465116279069767,0.690909090909091,0.181818181818182,0.0158562367864694,TRUE,-0.00909090909090915,0.515856236786469
39,"Gabriela le comentó que la obra le pareció muy prolija.",0.673076923076923,0.678571428571429,0.0192307692307692,0.0535714285714286,0.610169491525424,0.372881355932203,0.00549450549450547,TRUE,0.0629074315514994,0.305690072639225
40,"En ese acto presentaron una plataforma muy buena.",0.590163934426229,0.78,0.0491803278688525,0.02,0.346938775510204,0.612244897959184,0.189836065573771,FALSE,0.243225158916025,0.167755102040816
41,"No había otra explicación%2C era claramente viral.",0.530612244897959,0.839285714285714,0,0.0178571428571429,0.16,0.78,0.308673469387755,TRUE,0.370612244897959,0.0592857142857143
42,"Diana no lo pudo evitar%2C la red colapsó a pesar de sus esfuerzos.",0.568627450980392,0.536585365853659,0.137254901960784,0.195121951219512,0.368421052631579,0.333333333333333,0.0320420851267336,FALSE,0.200206398348813,0.203252032520325
43,"La aplicación del producto debía hacerse inmediatamente.",0.361702127659574,0.903846153846154,0.234042553191489,0.0961538461538462,0.125,0.5625,0.542144026186579,FALSE,0.236702127659574,0.341346153846154
44,"Se tomó el expreso porque se quedaba dormido.",0.5,0.575,0.02,0.075,0.392857142857143,0.571428571428571,0.075,TRUE,0.107142857142857,0.00357142857142856
